bandwidth,computation_nodes,energy_consumption
15,1.7033694783036721,1.5831009995196659
29,1.2693810391838238,1.5729424283280249
126,1.7443694361652025,1.1907330674966996
16,1.6495417636939438,0.1595944388761407
76,1.2405017722839637,1.3040374580999607
103,1.6173695692324743,1.3997688755590465
40,1.5994356286635383,0.9984180925677072
123,1.306009779053729,0.11299751935612204
101,1.8864011770160887,0.9452287963070051
39,1.3056584758388061,2.0144261444135623
23,1.3702539996238894,0.8598546012746747
56,1.3948773185330912,1.3074520627337822
105,1.8878411006018183,1.0188497593436852
60,1.1373087791385303,0.2576003961569163
92,1.3224961095478023,1.3370395047284922
85,1.947877590341855,0.48457718051331977
96,1.076510663706115,0.5557965513030937
22,1.3183267599623179,1.810635442030294
60,1.9531320334307967,0.6559472062201842
58,1.6992528886908402,0.4253081943121696
97,1.3907977702502736,0.6339556440982267
94,2.0303200464837436,0.24280501915709665
80,1.6984761170167664,1.5582535959006985
60,1.1797427431381213,0.6398956535685559
100,2.0179302975833395,1.2138994875492926
119,1.7530756760888622,1.6366271551847444
117,1.0615317423042123,0.16420048780807553
46,1.3469983528649903,0.23237721042309448
84,2.0044497366040996,1.8527352529453378
95,1.3461456688783258,1.0984625189845547
94,1.9731514692753729,1.0177037051747977
43,1.2913681831478576,1.5899779641832132
107,1.5928750186340195,1.2691719804470811
63,1.9876051719627248,0.8239928874272219
29,2.097058355788077,1.1190525873529291
18,6.363637648695176,1.8222058193333317
32,6.611365277393045,1.6841587287259283
20,7.688639867198736,0.8695346233490001
71,8.383553713444513,1.1582286901982741
122,9.884313510454472,1.9848617227596197
26,8.721133641026075,1.4634207380531497
46,8.14788132163518,1.637197465314892
49,7.360701892124181,0.96953050133821
104,7.814894825316825,1.8517058807563882
76,7.053556203004363,1.6239243981041294
25,8.0307266984173,1.8410371396735339
93,7.193779165794531,1.1153257639552685
59,6.795644407058932,1.6250216001503026
111,8.157516120478503,1.9448681612365495
88,9.67397397758281,0.7483121140093462
58,6.07790696954333,1.8574437556463685
51,9.326662117444718,0.5789046206761176
84,6.963486369788932,1.9938988905959882
74,6.3426138082715156,1.7320465068401771
80,9.911937974709337,1.6316688586139756
72,6.513565857999051,1.9936973594099818
79,6.66050783589651,1.844866082170515
39,7.692551760803548,1.9578269860043538
100,9.021060786543222,0.5023021267793918
97,7.24686516520358,1.399756115278907
78,7.752400335658017,1.0029722827822596
20,6.991622454664032,0.7761711242949106
41,8.353234873828933,1.2768802288207022
102,6.028763355940374,1.362205914540198
127,6.915767135244618,0.16282591610603628
77,7.321713956321995,0.5760092687379904
39,8.675911113185123,1.1784678627895093
124,8.893410263523883,1.242086186650569
112,7.890684105247177,1.0459458858891875
24,7.628239845943746,0.29386162845764663
708,1.4741563006470153,0.922204552099476
613,1.9502204232065636,1.4467290945866031
625,2.082581732502563,0.2212253481540273
627,1.801034947285301,0.5973126678405712
714,1.2092297992848926,0.38036459418954893
718,1.2018368393659566,0.599612895764201
713,2.015592159203614,1.7160444894634053
625,1.9415635817152102,0.20117665904976248
603,2.0992107152539994,2.0379925145695026
660,2.0190036813089405,0.432622221207828
654,7.942564501802874,1.829300788060431
642,9.609771462042195,0.8579462379538322
667,9.941235375118904,1.9530361471186668
673,9.140517427176487,0.9460149719803258
800,9.829270563438692,1.2115366468112365
639,8.873633101185304,0.47979573453527424
614,6.870803593656699,1.2583605816325125
791,8.168780805497097,0.7272096195394585
722,6.200569349055814,1.1057007658390272
640,9.410879568193142,0.21375915945736904
647,8.031313987973673,0.2370426654075847
660,6.271843453503029,0.9075511026365549
745,9.766384508916357,0.5924306955772497
758,8.378076614133764,0.26396681098975094
744,8.62949265789009,1.1455654310639178
652,9.738825030945709,1.4394519495396585
667,7.256735451182305,0.891571693582509
676,8.686760891839885,1.0144491451409041
618,9.716073326822057,0.1186309137684928
744,8.484637021972372,2.092192895710189
